COUNTRY,SOVEREIGN,GID,CONTINENT,SRI,SRI_category,coastflood,rivflood,watersc,heatwvs,pm25,cyclns
Laos,Laos,LAO,Asia,"5.183190143039202",Medium-High,"1.623608441337545","8.656600804365782","0.556820481436844","8.700956673257613","4.048066803686905","0.739844312513114"
Latvia,Latvia,LVA,Europe,"3.269197938432164",Low-Medium,"0.0","1.69139098607803","0.0","8.74753516247548","3.496422589579238","0.0"
Lebanon,Lebanon,LBN,Asia,"6.214662901798034",High,"0.0","8.480932546097169","8.693436498359091","7.247905604563268","6.567081898349168","0.0"
Lesotho,Lesotho,LSO,Africa,"2.735073426608615",Low-Medium,"0.0","0.0","5.644362693682797","2.04253689423709","6.033129025195061","0.0"
Liberia,Liberia,LBR,Africa,"4.964412082087882",Medium-High,"0.0","8.805230067787","0.0","8.677033997725912","4.106113559516328","0.0"
Libya,Libya,LBY,Africa,"5.734745618596269",High,"1.535923953260518","7.559996196513692","8.091762141950232","7.541022527067357","5.180889564724774","0.0"
Liechtenstein,Liechtenstein,LIE,Europe,"2.649209755608347",Low-Medium,"0.0","0.0","0.0","8.05870280349523","3.220054476919866","0.0"
Lithuania,Lithuania,LTU,Europe,"3.753706920383597",Medium-High,"0.0","0.893207302656926","3.282165770846166","8.821278068745457","4.097142431921521","0.0"
Luxembourg,Luxembourg,LUX,Europe,"2.591644912642167",Low-Medium,"0.0","0.0","0.0","8.316914008826021","2.132951853041667","0.0"
Madagascar,Madagascar,MDG,Africa,"6.164926691562977",High,"3.983306526087344","7.317335937811935","2.512125121712724","9.022522634138769","2.411938224174773","7.645208344549387"
Malawi,Malawi,MWI,Africa,"2.786933687018215",Low-Medium,"0.0","5.574051411169673","3.136669750802327","2.372061465105838","4.127351092390995","0.0"
Malaysia,Malaysia,MYS,Asia,"4.905514742744934",Medium-High,"3.988561069432183","5.855029857873887","0.0","9.285200807890506","4.343909025775377","0.0"
Mali,Mali,MLI,Africa,"6.544410636497376",High,"0.0","7.904562801332922","5.435201697995121","9.267002221411596","8.922138235386328","0.0"
